Name,Team,防御率,勝率
西純,阪神,2.97,0.6
ガンケル,阪神,2.58,0.333
ウィルカーソン,阪神,3.06,0.571
青柳,阪神,0.89,0.875
伊藤将,阪神,2.81,0.5
西勇,阪神,1.5,0.5
遠藤,広島,2.59,0.429
久里,広島,3.06,0.429
大瀬良,広島,3.65,0.625
森下,広島,3.28,0.5
アンダーソン,広島,3.77,0.667
床田,広島,2.43,0.667
小川,ヤクルト,2.23,0.571
高橋,ヤクルト,2.92,0.8
高梨,ヤクルト,3.1,0.571
サイスニード,ヤクルト,3.78,0.75
原,ヤクルト,4.21,0.571
石川,ヤクルト,2.63,0.5
菅野,巨人,2.77,0.6
シューメーカー,巨人,3.42,0.333
赤星,巨人,4.32,0.5
戸郷,巨人,2.67,0.7
メルセデス,巨人,2.25,0.714
山﨑伊,巨人,3.44,0.5
大野,中日,2.65,0.375
柳,中日,3.34,0.625
小笠原,中日,3.86,0.429
松葉,中日,2.21,0.6
ロドリゲス,中日,1.48,0.5
高橋,中日,3.4,0.4
大貫,DeNA,2.47,0.571
上茶谷,DeNA,5.15,0.25
ロメロ,DeNA,5.89,0.375
今永,DeNA,1.25,1
東,DeNA,6.75,0
濱口,DeNA,1.82,0.667